latitude;longitude;altitude;geometry;@id;amenity;cuisine;name;source;contact:website;description;diet:vegan;diet:vegetarian;addr:housenumber;wikidata;contact:city;contact:housenumber;contact:phone;contact:postcode;contact:street;opening_hours;wheelchair;shop;opening_hours:covid19;email;phone;ref:FR:SIRET;source:date;website;indoor;level;capacity;start_date;takeaway;outdoor_seating;delivery;internet_access;smoking;ref:FR:NAF;ref:FR:SIREN;ref:vatin;currency:XLT;payment:cash:XLT-STUK;takeaway:covid19;addr:city;addr:postcode;addr:street;name:en;name:fr;check_date:diet:vegetarian;name:de;contact:email;delivery:covid19;description:covid19;facebook;instagram;survey:date;access:covid19;check_date:opening_hours;diet:kosher;diet:pescetarian;internet_access:fee;contact:facebook;contact:instagram;office;diet:halal;diet:meat;strapline;air_conditioning;lgbtq;reservation
48.5884905;7.7405237;;Point;node/742346371;restaurant;;Le Cyrano;survey;;;;;;;;;;;;"Mo-Fr 07:30-21:00; Sa 07:30-20:00";;;;contact@lecyrano.fr;+33 3 88 32 12 13;47978473800011;2021-08-18;https://restaurantlecyrano.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5869994;7.7409898;;Point;node/1179939502;restaurant;;La Bierstub;;;;;;;;;;;;;;;;off;;;;;;yes;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5892468;7.74941;;Point;node/1210189149;restaurant;french;Les Innocents;survey;http://les-innocents.fr/;;;;;;Strasbourg;4;;67000;Rue Paul Muller Simonis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5899569;7.7493576;;Point;node/1210189154;restaurant;asian;La Tour de Jade;survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5840803;7.743117;;Point;node/1249709890;restaurant;asian;Le grand Shanghai;local knowledge;;Restaurant asiatique Restaurant chinois Buffet à volonté Plats au wok;;;;;;40;;;Rue du Vieux Marché aux Vins;Mo-Su 12:00-22:30;yes;;;contact@legrandshanghai.fr;+33 3 88 38 86 88;;;http://legrandshanghai.fr;;;200;2013;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5841953;7.7425797;;Point;node/1249709892;restaurant;chinese;La Grande Muraille;survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583754;7.7420132;;Point;node/1249709899;restaurant;;Cigkoftem;;;;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583866;7.7421696;;Point;node/1249709910;restaurant;arab;Sidi Bou Saïd;survey;;;;;;;;;;;;;;;;;;;;;;;;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5836615;7.742267;;Point;node/1249709932;restaurant;lyonnaise;Au Bouchon;survey;;;;no;;;;25;;;Rue du Jeu des Enfants;"Mo-Th 12:00-14:00,19:00-22:00; Fr,Sa 12:00-14:00,19:00-23:00";;;;;+33 3 88 32 97 00;;;https://www.aubouchon.fr/;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5839415;7.7425573;;Point;node/1249709943;restaurant;;Ephese;survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5842812;7.7429469;;Point;node/1249709972;restaurant;brasserie;Le Bartholdi;survey;http://www.brasserie-bartholdi.fr/;;;;;;Strasbourg;31;+33 3 88 32 15 69;67000;Rue du Vieux Marché aux Vins;08:00-01:00;limited;;off;;;;;;;;;;no;;no;wlan;outside;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5842146;7.7426668;;Point;node/1249709975;restaurant;sushi;Sushido;survey;;;;;;;;;;;;"Mo-Sa 12:00-14:30,19:00-22:30; Su 19:00-22:30";;;;shideliu@gmail.com;+33 3 88 38 78 78;52386091400010;;http://sushido.fr/;;0;;2009;;;;;;5610A;523860914;FR103523860914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5838027;7.7427733;;Point;node/1249709981;restaurant;;La Pause Quinoa;survey;;;yes;yes;;;;;+33950662064;;;Mo 11:30-15:30, Tu-Sa 11:30-15:30, Tu-Fr 18:00-21:00;no;;open;;;;;;;0;;;;;no;;;;;;STUK;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5825797;7.7394326;;Point;node/1249709988;restaurant;french;Les Chefs d’Oeuvre d'Alsace;local knowledge;;;;;;;;8;;;Grand'Rue;Tu-Su 11:00-22:30;;;;;+33 9 53 67 38 88;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5827794;7.7381002;;Point;node/1250345388;restaurant;regional;Le Schnockeloch;survey;http://www.schnockeloch.fr;Dishes of alsatian tradition;;;;;Strasbourg;1;+33 3 88 13 45 04;67000;Quai Saint-Jean;"Mo-Su 11:30-14:30,18:30-23:00; PH off";;;;;;;;;;;;;;;;;separated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5840072;7.7367918;;Point;node/1987095938;restaurant;;Nemrut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.586884;7.7431944;;Point;node/1988923503;restaurant;Siamese;Thai Square;CUS Magazine;;;;;7;;;;+33 3 88 22 97 75;;;Mo-Sa 12:00-00:00;;;;restauranthaisquare@gmail.com;;;;https://thaisquare.eatbu.com/;;;;;;;;;;;;;;;;Strasbourg;67000;Place Clément;Thaï square;Thaï square;;;;;;;;;;;;;;;;;;;;;;
48.5823339;7.7470122;;Point;node/2095562601;restaurant;;Le Square Delicatessen;survey;;;no;yes;;;;;;;;;limited;;;;;72850063800016;;;;;;;;;;;;;;;;;;;;;;;2021-10-30;;;;;;;;;;;;;;;;;;;;;
48.5823829;7.7464553;;Point;node/2095562603;restaurant;;La Stub;survey;;;;no;;;;;;;;;no;;;;;43385747100026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5822028;7.7466865;;Point;node/2095562605;restaurant;;Le Bistrot des Cocottes;survey;https://www.lebistrotdescocottes.fr/;;;no;5;;;;;;;;limited;;;;;;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5824051;7.7491559;;Point;node/2263125802;restaurant;regional;Au Saint-Sépulcre;;http://www.saintsepulcre.fr/;;;;;;Strasbourg;15;+33 3 88 75 18 45;67000;Rue des Orfèvres;Mo-Su 11:45-14:30, Mo-Sa 18:45-22:30, Su 18:45-22:00;limited;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Heiligen Grab;;;;;;;;;;;;;;;;;;;;
48.5834202;7.7412714;;Point;node/2676662296;restaurant;brazilian;O Brazil;;;;yes;yes;13;;;;;;;"Tu-Sa 11:30-13:30; Tu-Sa 18:30-22:00";;;open;;+33 3 90 24 93 52;;;https://www.restaurant-obrazil-strasbourg.fr/;;;;;;;;;;;;;;;only;Strasbourg;67000;Rue du Jeu des Enfants;;;;;;;;;;;;;;;;;;;;;;;;
48.584455;7.7365257;;Point;node/2780843660;restaurant;;Le Dix;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009";;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5822979;7.7408673;;Point;node/2899030985;restaurant;french;La part thé;;http://lapartthe.com;;no;yes;;;Strasbourg;42;+33 3 88 32 20 83;67000;Grand'Rue;"Mo-Fr 7:30-19:00;Sa 7:30-18:00;Su 8:30-18:00";yes;;;;;;;;;;;;;;;;outside;;;;;;;;;;;;;;emporter@lapartthe.com;;;;;;;;;;;;;;;;;;;
48.583882;7.7470301;;Point;node/3014786795;restaurant;lebanese;Le Sultan;;http://lesultan.net;;limited;yes;;;Strasbourg;7;+33 3 88 22 44 00;67000;Passage de la Pomme de Pin;Mo-Su 11:30-22:30;yes;;;;;;;;;;20;;;;;wlan;outside;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583019;7.7353295;;Point;node/3029851033;restaurant;;Au Coin des Kneckes;;https://coin-kneckes.fr/;;yes;yes;;;Strasbourg;34;+33 3 88 24 07 36;67000;Rue de la Course;"Mo-We 12:00-14:00,18:30-22:00; Th 12:00-14:00,18:30-22:45; Fr 12:00-17:00,18:30-22:45; Sa 18:30-22:00,23:00-24:00; Su 12:00-14:30,18:30-22:00";;;;;;;;;;;;;;yes;;;;;;;STUK;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5831194;7.7422754;;Point;node/3098283507;restaurant;;Les Fines Gueules;survey;http://www.les-fines-gueules.com;;;;;;Strasbourg;5;+33 3 88 32 15 54;67000;Rue Gustave Doré;;;;Mo-Su 18:00-21:00;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;yes;Uniquement tartes flambées.;;;;;;;;;;;;;;;;;
48.5824216;7.7426478;;Point;node/3184155258;restaurant;;La Fignette;survey;;;;;;;;;;;;Mo-Sa 11:45-14:45, 18:30-22:30;;;;;+33 3 88 32 91 82;81118702000011;;https://lafignette.com/;;;;;;yes;;;;;;;;;;;;;La Fignette;La Fignette;;;;;;https://www.facebook.com/Restaurant-La-Fignette-1489719064481026/;https://www.instagram.com/explore/locations/1489719064481026/restaurant-la-fignette/;2021-08-19;;;;;;;;;;;;;;
48.5822938;7.7427168;;Point;node/3184155259;restaurant;regional;Winstub S'kaechele;survey;http://www.skaechele.com/;;;;;;;8;+33 3 88 22 62 36;;Rue de l'Argile;;;;;;;48852880300015;;;;;;;;;;;;;;;;;;;;;;;;;skaechele@free.fr;;;;;;;;;;;;;;;;;;;
48.5851276;7.7365868;;Point;node/3787990755;restaurant;japanese;Naoko;survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5827107;7.749111;;Point;node/3791427175;restaurant;regional;Le Clou;;;;;;;;;;;;;;;;;;;;;;;;;;;no;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5822311;7.738901;;Point;node/4438333416;restaurant;crepe;Le Quai Crêp'Art;;;;no;yes;;;;;;;;;limited;;;;+33 3 88 13 65 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5829698;7.7361545;;Point;node/4463108021;restaurant;indian;Sonar bangla;;;;yes;yes;;;;;;;;;;;;;+33 9 83 57 94 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5836145;7.7403861;;Point;node/4500980737;restaurant;"italian;pizza;pasta;fish";La Grappa;;;;;yes;;;Strasbourg;5;;67000;Rue du Vieux Marché aux Vins;"Tu-Fr 12:00-14:00,19:00-21:30; Sa 12:00-14:00,19:00-22:00";;;;restaurantlagrappa@gmail.com;+33 3 88 75 98 60;;;https://lagrappa.fr/;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5826176;7.7417462;;Point;node/4508664517;restaurant;;AEDAEN Place;;https://www.aedaen-place.com;;no;yes;;;Strasbourg;4-6;;67000;Rue des Aveugles;"08:00-01:00; Th-Sa 08:00-04:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.582703;7.7439917;;Point;node/4548119724;restaurant;;Suzanne;;;;;no;;;Strasbourg;25;;67000;Rue du 22 Novembre;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Suzanne;;;;;;;;;;;;;;;;;;;;;;
48.5835949;7.7415652;;Point;node/4594699365;restaurant;lebanese;Iskandar;;;;yes;yes;;;;;;;;Mo-Su 12:00-22:00;;;;;+33 3 88 75 05 43;;;https://www.restaurantiskandar.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5843155;7.7484277;;Point;node/4594699367;restaurant;;Vert carotte;;;;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5855292;7.7404337;;Point;node/4598296539;restaurant;vietnamese;Mandala;survey;;;yes;yes;;;;;;;;Mo-Sa 11:00-22:30;;;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5821096;7.7443914;;Point;node/4600450608;restaurant;latin_american;Santa Elena;survey;http://www.santa-elena.fr;;;;;;;;;;;Mo-Sa 12:00-14:00, 19:30-22:00;yes;;;;;79904263500018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5825604;7.7395453;;Point;node/4696193406;restaurant;tibetan;Momo Tibétain;survey;;;;yes;;;;12;;;Grand'Rue;Mo-Su 11:30-14:00,19:00-22:00;;;Mo-Su 11:30-14:00,19:00-22:00;;+33 6 05 63 48 39;;;https://momotibetain67.fr/;;;;;yes;;;;;;;;;;yes;;;;;;;;;yes;;;;;yes;;;;;;;;;;;;;
48.5824978;7.7355707;;Point;node/4752240915;restaurant;;Brasserie La Choppe;survey;;;;;;;;;;;;;;;;;;;;;;0;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5874164;7.7477362;;Point;node/4817232280;restaurant;;Au tribunal;survey;;;;;;;;;;;;;;;;;;;2017-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5828946;7.7393039;;Point;node/4831185264;restaurant;sushi;Yume Sushi;visit;;;;yes;;;;2;;;Place Saint-Pierre-le-Vieux;;;;;;+33 3 88 22 44 44;;;https://www.yume-sushi.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019-03;;;;;;;;;;;;;;
48.5838744;7.7410259;;Point;node/4833415230;restaurant;italian;Alambar;survey;;;;;;;;;+33 3 88 75 16 00;;;Mo-Sa 10:00-14:30, 18:30-23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-05;;;;;;;;;;;;;;
48.5848679;7.7376281;;Point;node/4929565424;restaurant;;Le Kuhn;;;;;;;;Strasbourg;11;;67000;Rue Thiergarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5874692;7.7460547;;Point;node/4968835230;restaurant;indian;Namaste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.587313;7.7465093;;Point;node/4968835231;restaurant;;Cokoon;;;;;;;;;;;;;;;;;;;;;http://www.cokoon-strasbourg.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5821247;7.7421112;;Point;node/5000831837;restaurant;french;Le Galopin;;https://www.bistrotlegalopin.fr/;;;;;;Strasbourg;55;+33 3 90 23 93 82;67000;Grand'Rue;"Tu-Sa 11:00-01:30; Su 11:00-21:00";yes;;;;;;;;;;;;;yes;no;;;;;;;;;;;;;;;;;;;https://www.facebook.com/bistrotlegalopin/;https://www.instagram.com/bistrot_le_galopin/;;;;;;;;;;;;;;;
48.5833473;7.7356892;;Point;node/5037062157;restaurant;;Graffateria;;http://www.graffalgar-hotel-strasbourg.com/graffeteria-restaurant-strasbourg-railway-station.html;;yes;yes;;;;;+33 3 88 24 98 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5834778;7.7428749;;Point;node/5070944136;restaurant;french;À la Tête de Lard;;http://www.alatetedelard-strasbourg.fr;;;;;;Strasbourg;3;+33 3 88 32 13 56;67000;Rue Hannong;;;;Mo-Sa 17:30-20:30;;;;;;;;;;;;;;;;;;;;yes;;;;;À la Tête de Lard;;;;yes;Uniquement tartes flambées. Commande au 03 88 32 13 56 ou par SMS au 06 61 35 02 64 ou directement sur place. 50% offert pour le personnel soignant, force de l'ordre, pompiers, sur justificatif.;;;;;;;;;;;;;;;;;
48.5821455;7.7350698;;Point;node/5084234936;restaurant;;Murat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5836198;7.7472776;;Point;node/5174505922;restaurant;;Floderer;survey;;;;;;;;;;;;;;;;;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.585242;7.741191;;Point;node/5176283540;restaurant;;Bistrot Moderne;survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-24;;;;;;;;;;;;;;
48.5825097;7.7398407;;Point;node/5177907121;restaurant;;Velicious Burger;;;;only;yes;;;;;;;;Mo-Sa 12:00-22:00;;;Mo-Sa 12:00-22:00;;+33 9 72 53 07 35;;;http://www.velicious.fr;;;;;;;;;;;;;;;yes;;;;;;;;;yes;;;;;yes;;;;;;;;;;;;;
48.5838459;7.738486;;Point;node/5190658223;restaurant;thai;Baan Thaï;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.582444;7.7388086;;Point;node/5190858432;restaurant;japanese;Le Mikado;survey;;;yes;yes;11;;;;;;;"Mo-Sa 11:45-14:00,18:45-22:00; PH off; 2021 Jul-Aug off";;;;;+33 3 88 21 07 20;;2017;https://mikadostrasbourg.fr/;;;;;;;;;;;;;;;;Strasbourg;67000;Quai Turckheim;;;;;;;;;;;;2021-09-01;;;;;;;;;;;;
48.5867801;7.7430451;;Point;node/5310573224;restaurant;;Winstub La Vigne;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008";;;;;;;Strasbourg;14;;67000;Rue de Sébastopol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Winstub La Vigne;;;;;;;;;;;;;;;;;;;;;;
48.5847396;7.7456788;;Point;node/5418776921;restaurant;sushi;Yonako;;;;;;;;Strasbourg;28;+33 3 88 32 54 02;67000;Rue Thomann;Th-Tu 12:00-14:30, 19:00-23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5832243;7.7440983;;Point;node/5783798887;restaurant;regional;Tonneau;survey;;;;;;;;;;;;"Mo-Sa 11:30-14:30,18:00-22:30; Su off";;;;;;;2021-08-18;https://restaurant-tonneau.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5831445;7.7440369;;Point;node/5783814773;restaurant;;Bar O Centre;;;;;;;;;;;;;Mo-Sa 07:00-24:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5832186;7.7438512;;Point;node/5783902966;restaurant;chinese;Lamian;survey;;;yes;yes;;;;;;;;"Mo-Sa 12:00-14:30, 19:00-22:30; Su 19:00-22:30";;;;;+33 3 88 10 82 92;;2021-08-18;http://www.lamian.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583666;7.7354103;;Point;node/5901554876;restaurant;african;Le Relais - Mangatama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5847119;7.743053;;Point;node/5929375086;restaurant;;La Mauresque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5827491;7.7407878;;Point;node/6142240830;restaurant;"barbecue;texan";Street Butcher;;;;no;yes;;;Strasbourg;8;;67000;Rue du 22 Novembre;"Mo-Sa 11:30-01:30; Su 11:00-01:30";;;;;+33 3 88 36 32 93;;;;;;;;yes;yes;;;outside;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583574;7.7370098;;Point;node/6183620906;restaurant;éthiopienne;Abyssinia;;https://www.abyssiniastrasbourg.com/;;yes;;;;Strasbourg;5;+33 9 50 88 29 12;67000;Rue des Païens;"Tu-Sa 12:00-15:00,19:00-23:00; Su 12:00-16:00,19:00-23:00";;;;;;;;;;;;2017;no;no;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5839917;7.7377051;;Point;node/6376796285;restaurant;regional;Le Mun’s;;;;;;4;;;;;;;"Tu-Fr 12:00-13:30, 19:00-21:00; Sa 19:00-21:30";;;;;0953429558;;;http://lemuns.fr;;;;;;;;;;;;;;;;;;Rue Thiergarten;;;;;;;;;;;;;;;;;;;;;;;;
48.5897278;7.7462349;;Point;node/6634211242;restaurant;;La Fabrique à Miam;;;;;;10;;;;;;;Mo-Th, Su 12:00-14:00, 19:00-22:00;;;;;+33388240110;;;http://www.lafabriqueamiam.fr;;;;;yes;yes;yes;;;;;;;;;;;Rue Gloxin;;;;;;;;;;;;;only;only;;;;;;;;;;
48.5831992;7.742805;;Point;node/6666598149;restaurant;;Alma;;;Cuisine fusion mêlant les saveurs du Pérou et du Japon.;;;;;;18;;;Rue Hannong;"Tu-Th 12:00-14:00, 19:00-21:00; Fr, Sa 12:00-14:00, 19:00-22:00";;;;alma.strasbourg@orange.fr;+33388220848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5857793;7.7402668;;Point;node/6789170785;restaurant;;L'Italien du Coin;survey;;;;;;;;;;;;Mo-Sa 11:30-14:30, 18:30-22:00;;;;;+33 3 88 22 03 29;;;https://www.italienducoin.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021-08-24;;;;;;;;;;;;;;
48.5869486;7.7408178;;Point;node/6792611081;restaurant;;PUR etc.;;;;yes;yes;;;;;;;;Mo-Sa 09:00-20:00;yes;;off;;;;;;yes;0;;;yes;;;wlan;;;;;;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;
48.5837818;7.7433343;;Point;node/7067466700;restaurant;japanese;Osaka;survey;;;;;;;;;;;;;;;off;;;;;;;0;;;;yes;;;;;;;;;;;;;;;;;;;;;;2021-08-18;;;;;;;;;;;;;;
48.5830482;7.744392;;Point;node/7089160915;restaurant;lebanese;Falafilo;survey;https://falafilo.business.site;;;;;;;;+33 3 88 36 72 57;;;11:30-22:30;;;;;;;2020;;;;;;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5874911;7.7477315;;Point;node/7289385394;restaurant;japanese;Oishii Sushi;;;;;;;;;;;;;;;;;;+33 3 67 15 24 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5875971;7.7476517;;Point;node/7289385395;restaurant;french;Le Verdict;;;;;;;;;;;;;;;;;;+33 6 51 15 04 93;;;https://www.le-verdict.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5833959;7.7358938;;Point;node/7815512123;restaurant;crepe;Fashion Crêpe;survey;;;;;;;;;;;;;;;;;;;2020-08;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.584672;7.737595;;Point;node/7815512128;restaurant;indian;La Palme d'Or;survey;;;;;;;;;;;;;;;;;;;2020-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5850055;7.7375925;;Point;node/7815512129;restaurant;regional;S'Zwiling Stuebel;survey;;;;;;;;;;;;;;;;;;;2020-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5852858;7.7378816;;Point;node/7815512133;restaurant;arab;Le Petit Casa;survey;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;2020-08;;;;;;;;;;;;;;
